INEX_LD-2009022	Szechwan dish food cuisine
INEX_LD-2009053	finland car industry manufacturer saab sisu
INEX_LD-2009062	social network group selection
INEX_LD-2009074	web ranking scoring algorithm
INEX_LD-2009111	europe solar power facility
INEX_LD-2010004	Indian food
INEX_LD-2010019	gallo roman architecture in paris
INEX_LD-2010037	social network API
INEX_LD-2010057	Einstein Relativity theory
INEX_LD-2010100	house concrete wood
INEX_LD-20120111	vietnam war movie
INEX_LD-20120121	vietnam food recipes
INEX_LD-20120131	vietnam travel national park
INEX_LD-20120211	guitar chord tuning
INEX_LD-20120221	guitar classical flamenco
INEX_LD-20120231	guitar origin Russia
INEX_LD-20120311	tango culture movies
INEX_LD-20120321	tango music  composers
INEX_LD-20120331	tango dance styles
INEX_LD-20120411	bicycle sport races
INEX_LD-20120421	bicycle holiday towns
INEX_LD-20120431	bicycle benefits health
INEX_LD-20120511	female rock singers
INEX_LD-20120521	electronic music genres
INEX_LD-20120531	music conferences
INEX_LD-2012301	Niagara falls origin lake
INEX_LD-2012305	North Dakota lowest river of another colour
INEX_LD-2012309	residents small island city state  Malay Peninsula Chinese
INEX_LD-2012313	John Turturro 1991 Coen Brothers film
INEX_LD-2012317	daggeroso inclined to use a dagger novel Sons and Lovers
INEX_LD-2012319	 1994 short story collection Alice Munro is Open
INEX_LD-2012323	Large glaciers island nation Langjokull Hofsjokull Vatnajokull
INEX_LD-2012327	Beloved author African American Nobel Prize Literature
INEX_LD-2012331	Seoul Korea river name ethnic group China
INEX_LD-2012335	US president authorise nuclear weapons against Japan
INEX_LD-2012337	Texas city Baylor University tornado 1953
INEX_LD-2012341	1997  Houston airport president
INEX_LD-2012345	Kennedy assassination governor of Texas seriously injured
INEX_LD-2012349	Alexander Nevsky Cathedral Bulgarian city liberation Turks
INEX_LD-2012353	country German language
INEX_LD-2012355	England football player highest paid
INEX_LD-2012359	 Bob Ricker Executive Director the latest front group for the anti gun movement
INEX_LD-2012363	American twins famous  American professional tennis double players
INEX_LD-2012367	invented telescope
INEX_LD-2012371	most beautiful railway stations world cities located
INEX_LD-2012373	birds cannot fly
INEX_LD-2012377	allegedly caused World War I
INEX_LD-2012383	famous computer scientists disappeared at sea
INEX_LD-2012387	famous river confluence dam constructed
INEX_LD-2012390	baseball player most homeruns national league
INEX_XER-106	Noble english person from the Hundred Years War
INEX_XER-109	National capitals situated on islands
INEX_XER-113	Formula 1 drivers that won the Monaco Grand Prix
INEX_XER-115	Formula One World Constructors Champions
INEX_XER-117	Musicians appeared in the Blues Brothers movies
INEX_XER-119	Swiss cantons they speak German
INEX_XER-122	Movies with eight or more Academy Awards
INEX_XER-124	Novels that won the Booker Prize
INEX_XER-126	toy train manufacturers that are still in business
INEX_XER-128	Bond girls
INEX_XER-130	Star Trek Captains
INEX_XER-133	EU countries
INEX_XER-135	professional baseball team in Japan
INEX_XER-138	National Parks East Coast Canada US
INEX_XER-140	Airports in Germany
INEX_XER-143	Hanseatic league in Germany in the Netherlands Circle
INEX_XER-147	Chemical elements that are named after people
INEX_XER-62	Neil Gaiman novels
INEX_XER-64	Alan Moore graphic novels adapted to film
INEX_XER-67	Ferris and observation wheels
INEX_XER-73	magazines about indie music
INEX_XER-79	Works by Charles Rennie Mackintosh
INEX_XER-86	List of countries in World War Two
INEX_XER-88	Nordic authors are known for children literature
INEX_XER-94	Hybrid cars sold in Europe
INEX_XER-96	Pure object oriented programing languages
INEX_XER-98	Makers of lawn tennis rackets
QALD2_te-1	German cities have more than 250000 inhabitants
QALD2_te-11	is the Formula 1 race driver with the most races
QALD2_te-13	is the youngest player in the Premier League
QALD2_te-15	is the longest river
QALD2_te-19	all people that were born in Vienna and died in Berlin
QALD2_te-21	is the capital of Canada
QALD2_te-24	was the father of Queen Elizabeth II
QALD2_te-27	Sean Parnell is the governor of US state
QALD2_te-29	all actors starring in movies directed by and starring William Shatner
QALD2_te-31	all current Methodist national leaders
QALD2_te-34	In military conflicts did Lawrence of Arabia participate
QALD2_te-39	all companies in Munich
QALD2_te-41	founded Intel
QALD2_te-43	all breeds of the German Shepherd dog
QALD2_te-45	countries are connected by the Rhine
QALD2_te-48	In UK city are the headquarters of the MI6
QALD2_te-5	is the second highest mountain on Earth
QALD2_te-53	is the ruling party in Lisbon
QALD2_te-57	the Apollo 14 astronauts
QALD2_te-59	US states are in the same timezone as Utah
